,名称,カテゴリー,住所,路線,最寄り駅,時間,購入価格,面積,間取り,築年数
15109,オープンプレイス寒川コンフォート,新築一戸建て,神奈川県高座郡寒川町一之宮４,ＪＲ相模線,寒川,－徒歩13分,2780万円～2980万円,81.8m2～98.88m2,2LDK+S（納戸）～3LDK,-
15110,倉見（倉見駅） 2880万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩10分,2880万円,117.96m2（実測）,3LDK,-
15111,倉見（倉見駅） 2880万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩10分,2880万円,117.96m2（実測）,3LDK,-
15112,倉見（門沢橋駅） 3080万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,門沢橋,－徒歩9分,3080万円,114.7m2（実測）,3LDK,-
15113,小動（宮山駅） 3080万円,新築一戸建て,神奈川県高座郡寒川町小動,ＪＲ相模線,宮山,－徒歩18分,3080万円,101.22m2,3LDK+S（納戸）,-
15114,小動（宮山駅） 3080万円,新築一戸建て,神奈川県高座郡寒川町小動,ＪＲ相模線,宮山,－徒歩18分,3080万円,101.22m2（30.61坪）（実測）,3LDK+S（納戸）,-
15115,倉見（門沢橋駅） 3080万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,門沢橋,－徒歩9分,3080万円,114.7m2（34.69坪）,3LDK,-
15116,倉見（門沢橋駅） 3080万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,門沢橋,－徒歩9分,3080万円,114.7m2（34.69坪）（実測）,3LDK,-
15117,倉見（門沢橋駅） 3080万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,門沢橋,－徒歩9分,3080万円,114.7m2（34.69坪）,3LDK,-
15118,倉見（門沢橋駅） 3080万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,門沢橋,－徒歩9分,3080万円,114.7m2（34.69坪）,3LDK,-
15119,倉見（倉見駅） 3180万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩13分,3180万円,111.92m2（実測）,4LDK,-
15120,倉見（倉見駅） 3180万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩13分,3180万円,111.92m2（実測）,4LDK,-
15121,倉見（倉見駅） 3180万円,新築一戸建て,神奈川県高座郡寒川町倉見1383-6,ＪＲ相模線,倉見,－徒歩14分,3180万円,111.92m2（33.85坪）（登記）,4LDK,-
15122,倉見（倉見駅） 3180万円,新築一戸建て,神奈川県高座郡寒川町倉見1383-6,ＪＲ相模線,倉見,－徒歩14分,3180万円,111.92m2（33.85坪）（登記）,4LDK,-
15123,倉見（倉見駅） 3180万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩14分,3180万円,111.92m2（33.85坪）,4LDK,-
15124,寒川町倉見　新築分譲住宅,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩13分,3180万円,111.92m2（実測）,4LDK,-
15125,倉見（倉見駅） 3180万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩13分,3180万円,111.92m2（33.85坪）,4LDK,-
15126,高座郡寒川町倉見　新築戸建　２号棟,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩13分,3180万円,111.92m2（33.85坪）（実測）,4LDK,-
15127,倉見（倉見駅） 3180万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩13分,3180万円,111.92m2（33.85坪）（登記）,4LDK,-
15128,倉見（倉見駅） 3280万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩9分,3280万円,112.51m2（34.03坪）（実測）,4LDK,-
15129,倉見（倉見駅） 3280万円・3480万円,新築一戸建て,神奈川県高座郡寒川町倉見360-7,ＪＲ相模線,倉見,－徒歩13分～13分,3280万円・3480万円,108.09m2・112.51m2（32.69坪・34.03坪）,4LDK,-
15130,倉見（倉見駅） 3280万円・3480万円,新築一戸建て,神奈川県高座郡寒川町倉見360-7,ＪＲ相模線,倉見,－徒歩13分～13分,3280万円・3480万円,108.09m2・112.51m2（32.69坪・34.03坪）,4LDK,-
15131,倉見（倉見駅） 3280万円・3480万円,新築一戸建て,神奈川県高座郡寒川町倉見360-7,ＪＲ相模線,倉見,－徒歩9分,3280万円・3480万円,108.09m2・112.51m2（実測）,4LDK,-
15132,高座郡寒川町倉見の家,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩9分,3280万円・3480万円,108.09m2・112.51m2,4LDK,-
15133,倉見（倉見駅） 3280万円・3480万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩9分,3280万円・3480万円,108.09m2・112.51m2（32.69坪・34.03坪）（登記）,4LDK,-
15134,岡田７（寒川駅） 3380万円,新築一戸建て,神奈川県高座郡寒川町岡田７,ＪＲ相模線,寒川,－徒歩20分,3380万円,111.06m2・114.04m2（実測）,4LDK,-
15135,岡田７（寒川駅） 3380万円,新築一戸建て,神奈川県高座郡寒川町岡田７,ＪＲ相模線,寒川,－徒歩20分,3380万円,111.06m2・114.04m2（33.59坪・34.49坪）,4LDK,-
15136,岡田７（寒川駅） 3380万円,新築一戸建て,神奈川県高座郡寒川町岡田７,ＪＲ相模線,寒川,－徒歩20分,3380万円,111.06m2・114.04m2（33.59坪・34.49坪）,3LDK・4LDK+S（納戸）,-
15137,岡田７（寒川駅） 3380万円,新築一戸建て,神奈川県高座郡寒川町岡田７,ＪＲ相模線,寒川,－徒歩20分,3380万円,111.06m2・114.04m2（33.59坪・34.49坪）,3LDK・4LDK,-
15138,大曲３（香川駅） 3390万円～3690万円,新築一戸建て,神奈川県高座郡寒川町大曲３,ＪＲ相模線,香川,－徒歩8分,3390万円～3690万円,96.73m2～100.48m2（登記）,3LDK,-
15139,宮山（宮山駅） 3480万円～4180万円,新築一戸建て,神奈川県高座郡寒川町宮山,ＪＲ相模線,宮山,－徒歩3分～4分,3480万円～4180万円,116.12m2～137.54m2（35.12坪～41.60坪）,3LDK・4LDK,-
15140,宮山（宮山駅） 3480万円～4180万円,新築一戸建て,神奈川県高座郡寒川町宮山,ＪＲ相模線,宮山,－徒歩3分～4分,3480万円～4180万円,116.12m2～137.54m2（35.12坪～41.60坪）（登記）,3LDK～4LDK,-
15141,倉見（倉見駅） 3480万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩9分,3480万円,108.09m2（32.69坪）（実測）,4LDK,-
15142,倉見（倉見駅） 3480万円,新築一戸建て,神奈川県高座郡寒川町倉見,ＪＲ相模線,倉見,－徒歩9分,3480万円,108.09m2（32.69坪）,4LDK,-
15143,岡田４（寒川駅） 3480万円～3980万円,新築一戸建て,神奈川県高座郡寒川町岡田４-6-11,ＪＲ相模線,寒川,－徒歩14分～14分,3480万円～3980万円,106.01m2～115.63m2（32.06坪～34.97坪）（登記）,3LDK・4LDK,-
15144,岡田４（寒川駅） 3480万円～3980万円,新築一戸建て,神奈川県高座郡寒川町岡田４,ＪＲ相模線,寒川,－徒歩14分,3480万円～3980万円,106.01m2～115.63m2（32.06坪～34.97坪）,3LDK・4LDK,-
15145,岡田４（寒川駅） 3480万円～3980万円,新築一戸建て,神奈川県高座郡寒川町岡田４-6-11,ＪＲ相模線,寒川,－徒歩14分～14分,3480万円～3980万円,106.01m2～115.63m2（32.06坪～34.97坪）（登記）,3LDK・4LDK,-
15146,岡田４（寒川駅） 3480万円～3980万円,新築一戸建て,神奈川県高座郡寒川町岡田４,ＪＲ相模線,寒川,－徒歩14分,3480万円～3980万円,106.01m2～115.63m2（32.06坪～34.97坪）,3LDK・4LDK,-
15147,岡田４（寒川駅） 3480万円～3980万円,新築一戸建て,神奈川県高座郡寒川町岡田４,ＪＲ相模線,寒川,－徒歩14分,3480万円～3980万円,106.01m2～115.63m2（32.06坪～34.97坪）,3LDK・4LDK,-
15148,一之宮１（寒川駅） 3580万円・3680万円,新築一戸建て,神奈川県高座郡寒川町一之宮１,ＪＲ相模線,寒川,－徒歩5分,3580万円・3680万円,87.28m2～114.01m2（26.40坪～34.48坪）,2LDK+S（納戸）～4LDK,-
15149,岡田４（寒川駅） 3580万円,新築一戸建て,神奈川県高座郡寒川町岡田４,ＪＲ相模線,寒川,－徒歩19分,3580万円,163.54m2（49.47坪）（登記）、路地状部分：32.71㎡含,3LDK+S（納戸）,-
15150,宮山（寒川駅） 3680万円～4380万円,新築一戸建て,神奈川県高座郡寒川町宮山133番,ＪＲ相模線,寒川,－徒歩6分,3680万円～4380万円,106.11m2～155.81m2（登記）,3LDK～4LDK,-
15151,【ミラタウン 寒川町宮山Ⅱ】,新築一戸建て,神奈川県高座郡寒川町宮山3635,ＪＲ相模線,宮山,－徒歩5分,3680万円～3750万円,100.25m2～101.4m2,3LDK,-
15152,小谷１（寒川駅） 3680万円,新築一戸建て,神奈川県高座郡寒川町小谷１,ＪＲ相模線,寒川,－徒歩22分,3680万円,126.93m2（38.39坪）（実測）,4LDK,-
15153,大曲３（香川駅） 3690万円,新築一戸建て,神奈川県高座郡寒川町大曲３,ＪＲ相模線,香川,－徒歩9分,3690万円,96.73m2（29.26坪）（実測）,3LDK,-
15154,大曲４（香川駅） 3780万円,新築一戸建て,神奈川県高座郡寒川町大曲４,ＪＲ相模線,香川,－徒歩16分,3780万円,139m2（42.04坪）,4LDK,-
15155,大曲４（香川駅） 3780万円,新築一戸建て,神奈川県高座郡寒川町大曲４,ＪＲ相模線,香川,－徒歩16分,3780万円,120m2（36.29坪）,4LDK,-
15156,大曲４（香川駅） 3780万円,新築一戸建て,神奈川県高座郡寒川町大曲４-9-7,ＪＲ相模線,香川,－徒歩16分～16分,3780万円,120m2（36.29坪）,4LDK,-
15157,大曲４（香川駅） 3780万円,新築一戸建て,神奈川県高座郡寒川町大曲４-9-7,ＪＲ相模線,香川,－徒歩16分～16分,3780万円,120m2（36.29坪）,4LDK,-
15158,大曲４（香川駅） 3780万円,新築一戸建て,神奈川県高座郡寒川町大曲４,ＪＲ相模線,香川,－徒歩14分,3780万円,120m2,4LDK+S（納戸）,-
15159,大曲４（香川駅） 3780万円,新築一戸建て,神奈川県高座郡寒川町大曲４,ＪＲ相模線,香川,－徒歩14分,3780万円,139m2,4LDK+S（納戸）,-
15160,大曲４（香川駅） 3780万円,新築一戸建て,神奈川県高座郡寒川町大曲４,ＪＲ相模線,香川,－徒歩15分,3780万円,120m2（36.29坪）（実測）,4LDK,-
15161,大曲４（香川駅） 3780万円,新築一戸建て,神奈川県高座郡寒川町大曲４,ＪＲ相模線,香川,－徒歩15分,3780万円,139m2（42.04坪）（実測）,4LDK,-
15162,大曲４（香川駅） 3780万円,新築一戸建て,神奈川県高座郡寒川町大曲４,ＪＲ相模線,香川,－徒歩16分,3780万円,120m2（36.29坪）（実測）,4LDK,-
15163,大曲４（香川駅） 3780万円,新築一戸建て,神奈川県高座郡寒川町大曲４,ＪＲ相模線,香川,－徒歩16分,3780万円,120m2（36.29坪）,4LDK,-
15164,高座郡寒川町　大曲新築戸建,新築一戸建て,神奈川県高座郡寒川町大曲３,ＪＲ相模線,香川,－徒歩9分,3880万円,125.75m2,3LDK+S（納戸）,-
15165,大曲３（香川駅） 3880万円,新築一戸建て,神奈川県高座郡寒川町大曲３,ＪＲ相模線,香川,－徒歩10分,3880万円,125.75m2（実測）,3LDK,-
15166,大曲３（香川駅） 3880万円,新築一戸建て,神奈川県高座郡寒川町大曲３-366-3,ＪＲ相模線,香川,－徒歩9分～10分,3880万円,125.75m2（38.03坪）,3LDK+S（納戸）,-
15167,大曲３（香川駅） 3880万円,新築一戸建て,神奈川県高座郡寒川町大曲３-366-3,ＪＲ相模線,香川,－徒歩9分～10分,3880万円,125.75m2（38.03坪）,3LDK+S（納戸）,-
15168,大曲３（香川駅） 3880万円,新築一戸建て,神奈川県高座郡寒川町大曲３,ＪＲ相模線,香川,－徒歩9分,3880万円,125.75m2（38.03坪）（実測）,3LDK,-
15169,大曲３（香川駅） 3880万円,新築一戸建て,神奈川県高座郡寒川町大曲３,ＪＲ相模線,香川,－徒歩9分,3880万円,125.75m2,3LDK+S（納戸）,-
15170,大曲３（香川駅） 3880万円,新築一戸建て,神奈川県高座郡寒川町大曲３,ＪＲ相模線,香川,－徒歩9分,3880万円,125.75m2（38.03坪）（登記）,3LDK+S（納戸）,-
15171,大曲３（香川駅） 3880万円,新築一戸建て,神奈川県高座郡寒川町大曲３,ＪＲ相模線,香川,－徒歩9分,3880万円,125.75m2（38.03坪）,3LDK+S（納戸）,-
15172,大曲３（香川駅） 3880万円,新築一戸建て,神奈川県高座郡寒川町大曲３,ＪＲ相模線,香川,－徒歩9分～9分,3880万円,125.75m2（38.03坪）,3LDK-,-
15173,小谷１（寒川駅） 3880万円,新築一戸建て,神奈川県高座郡寒川町小谷１-8,ＪＲ相模線,寒川,－徒歩26分,3880万円,110.23m2～121.6m2（33.34坪～36.78坪）,3LDK,-
15174,宮山（寒川駅） 3980万円,新築一戸建て,神奈川県高座郡寒川町宮山,ＪＲ相模線,寒川,－徒歩6分,3980万円,144.32m2（実測）,3LDK,-
15175,宮山（寒川駅） 3980万円～4380万円,新築一戸建て,神奈川県高座郡寒川町宮山,ＪＲ相模線,寒川,－徒歩6分,3980万円～4380万円,117.47m2～155.81m2,3LDK～4LDK,-
15176,宮山（寒川駅） 3980万円,新築一戸建て,神奈川県高座郡寒川町宮山,ＪＲ相模線,寒川,－徒歩6分,3980万円,144.32m2（43.65坪）（実測）,3LDK,-
