,名称,カテゴリー,住所,路線,最寄り駅,時間,購入価格,面積,間取り,築年数
977,片岡（東海大学前駅） 2580万円,新築一戸建て,神奈川県平塚市片岡351-1,小田急小田原線,東海大学前,－徒歩44分～44分,2580万円,117.98m2（35.68坪）（登記）,3LDK,-
978,南豊田（平塚駅） 2680万円,新築一戸建て,神奈川県平塚市南豊田21,ＪＲ東海道本線,平塚,－徒歩52分,2680万円,96.78m2（29.27坪）（登記）,3LDK,-
979,長持（平塚駅） 2680万円・2780万円,新築一戸建て,神奈川県平塚市長持491-2,ＪＲ東海道本線,平塚,－徒歩50分～50分,2680万円・2780万円,97.02m2・97.5m2（29.34坪・29.49坪）（登記）,3LDK,-
980,北豊田（平塚駅） 2780万円～3180万円,新築一戸建て,神奈川県平塚市北豊田543,ＪＲ東海道本線,平塚,－徒歩57分～57分,2780万円～3180万円,125.16m2～127.63m2（37.86坪～38.60坪）（登記）,4LDK,-
981,寺田縄（平塚駅） 2780万円・2980万円,新築一戸建て,神奈川県平塚市寺田縄149-1,ＪＲ東海道本線,平塚,－徒歩63分～63分,2780万円・2980万円,122.57m2・143.47m2（37.07坪・43.39坪）（登記）,3LDK・3LDK+S（納戸）,-
982,岡崎 2790万円,新築一戸建て,神奈川県平塚市岡崎3269-23,小田急小田原線,伊勢原,バス14分停歩2分,2790万円,101.15m2・101.31m2（30.59坪・30.64坪）,4LDK,-
983,東中原２（平塚駅） 2880万円,新築一戸建て,神奈川県平塚市東中原２-8-18,ＪＲ東海道本線,平塚,－徒歩46分,2880万円,84.51m2（25.56坪）（登記）,4LDK,-
984,南金目 2950万円,新築一戸建て,神奈川県平塚市南金目1417‐6,ＪＲ東海道本線,平塚,バス18分停歩7分,2950万円,138.2m2（41.80坪）,3LDK,-
985,広川（平塚駅） 2980万円～3830万円,新築一戸建て,神奈川県平塚市広川40,ＪＲ東海道本線,平塚,－徒歩74分～74分,2980万円～3830万円,114.74m2～119.1m2（34.70坪～36.02坪）,3LDK・4LDK,-
986,飯島 2980万円～3480万円,新築一戸建て,神奈川県平塚市飯島524－4,ＪＲ東海道本線,平塚,バス19分停歩3分,2980万円～3480万円,124.98m2～143.96m2（37.80坪～43.54坪）,3LDK・4LDK,-
987,出縄（大磯駅） 2980万円・3180万円,新築一戸建て,神奈川県平塚市出縄１－２２,ＪＲ東海道本線,大磯,－徒歩55分～55分,2980万円・3180万円,124.29m2・128.73m2（37.59坪・38.94坪）（登記）,3LDK・4LDK,-
988,広川 2980万円,新築一戸建て,神奈川県平塚市広川,ＪＲ東海道本線,平塚,バス23分停歩1分,2980万円,156.86m2,3LDK,-
989,出縄 2980万円・3180万円,新築一戸建て,神奈川県平塚市出縄,ＪＲ東海道本線,平塚,バス19分停歩5分,2980万円・3180万円,124.29m2・128.73m2（37.59坪・38.94坪）,3LDK+S（納戸）・4LDK,-
990,大神４ 3080万円・3280万円,新築一戸建て,神奈川県平塚市大神４-6-40,小田急小田原線,伊勢原,バス11分停歩9分,3080万円・3280万円,98.32m2・99.1m2（29.74坪・29.97坪）（登記）,3LDK・4LDK,-
991,南原３（平塚駅） 3080万円・3180万円,新築一戸建て,神奈川県平塚市南原３-5-12,ＪＲ東海道本線,平塚,－徒歩41分～41分,3080万円・3180万円,102.06m2・102.29m2（30.87坪・30.94坪）,4LDK,-
992,広川 3080万円,新築一戸建て,神奈川県平塚市広川,ＪＲ東海道本線,平塚,バス23分停歩1分,3080万円,144.04m2,4LDK,-
993,豊田宮下 3090万円,新築一戸建て,神奈川県平塚市豊田宮下,ＪＲ東海道本線,平塚,バス17分停歩5分,3090万円,102.93m2,4LDK,-
994,横内（平塚駅） 3180万円,新築一戸建て,神奈川県平塚市横内2317,ＪＲ東海道本線,平塚,－徒歩70分～70分,3180万円,120.05m2（36.31坪）,4LDK,-
995,纒（平塚駅） 3180万円,新築一戸建て,神奈川県平塚市纒479,ＪＲ東海道本線,平塚,－徒歩50分～50分,3180万円,124.44m2（37.64坪）,4LDK,-
996,広川 3180万円,新築一戸建て,神奈川県平塚市広川,ＪＲ東海道本線,平塚,バス23分停歩1分,3180万円,140.01m2,4LDK+S（納戸）,-
997,北豊田 3180万円,新築一戸建て,神奈川県平塚市北豊田,ＪＲ東海道本線,平塚,バス19分停歩5分,3180万円,125.16m2（実測）,4LDK,-
998,北豊田 3180万円,新築一戸建て,神奈川県平塚市北豊田,ＪＲ東海道本線,平塚,バス19分停歩5分,3180万円,125.16m2（実測）,4LDK,-
999,寺田縄 3280万円,新築一戸建て,神奈川県平塚市寺田縄,ＪＲ東海道本線,平塚,バス20分停歩9分,3280万円,161.22m2（48.76坪）（実測）,3LDK,-
1000,田村８ 3280万円,新築一戸建て,神奈川県平塚市田村８,湘南新宿ライン高海,平塚,バス24分停歩2分,3280万円,113.3m2（34.27坪）（登記）,4LDK,-
1001,田村８ 3280万円,新築一戸建て,神奈川県平塚市田村８-6318,ＪＲ東海道本線,平塚,バス24分停歩2分,3280万円,113.3m2（34.27坪）,4LDK,-
1002,纒（大磯駅） 3280万円～3580万円,新築一戸建て,神奈川県平塚市纒282-20,ＪＲ東海道本線,大磯,－徒歩61分～61分,3280万円～3580万円,120.86m2・121.49m2（36.55坪・36.75坪）（登記）,3LDK・4LDK,-
1003,南豊田（平塚駅） 3280万円,新築一戸建て,神奈川県平塚市南豊田199-12,ＪＲ東海道本線,平塚,－徒歩51分～51分,3280万円,141.53m2（42.81坪）（登記）,4LDK,-
1004,河内（平塚駅） 3280万円・3480万円,新築一戸建て,神奈川県平塚市河内,ＪＲ東海道本線,平塚,－徒歩58分～58分,3280万円・3480万円,110.52m2～155.45m2（33.43坪～47.02坪）,3LDK～4LDK,-
1005,広川 3280万円,新築一戸建て,神奈川県平塚市広川,ＪＲ東海道本線,平塚,バス23分停歩1分,3280万円,140.03m2,5LDK,-
1006,広川 3280万円,新築一戸建て,神奈川県平塚市広川,ＪＲ東海道本線,平塚,バス23分停歩1分,3280万円,140.04m2,4LDK,-
1007,山下３（大磯駅） 3390万円・3490万円,新築一戸建て,神奈川県平塚市山下３-2－8,ＪＲ東海道本線,大磯,－徒歩40分～40分,3390万円・3490万円,120.1m2～133.14m2（36.33坪～40.27坪）（登記）,3LDK・4LDK,-
1008,南金目 3390万円,新築一戸建て,神奈川県平塚市南金目2283-20,ＪＲ東海道本線,平塚,バス19分停歩8分,3390万円,130.04m2,4LDK,-
1009,山下３ 3390万円・3490万円,新築一戸建て,神奈川県平塚市山下３,ＪＲ東海道本線,平塚,バス11分停歩4分,3390万円・3490万円,120.1m2～133.14m2,3LDK・4LDK,-
1010,撫子原（平塚駅） 3480万円,新築一戸建て,神奈川県平塚市撫子原,湘南新宿ライン高海,平塚,－徒歩25分,3480万円,76.54m2（23.15坪）（登記）,1LDK+S（納戸）,-
1011,横内（平塚駅） 3480万円,新築一戸建て,神奈川県平塚市横内3173-8,ＪＲ東海道本線,平塚,－徒歩62分,3480万円,126.54m2（38.27坪）（登記）,4LDK,-
1012,平塚市四之宮4丁目,新築一戸建て,神奈川県平塚市四之宮４,ＪＲ東海道本線,平塚,バス16分停歩2分,3480万円・3680万円,138.09m2～151.49m2（41.77坪～45.82坪）（実測）,3LDK+S（納戸）・4LDK,-
1013,四之宮５ 3580万円,新築一戸建て,神奈川県平塚市四之宮５-6-11,ＪＲ東海道本線,平塚,バス9分停歩2分,3580万円,125.74m2・143.92m2（38.03坪・43.53坪）（登記）,4LDK,-
1014,四之宮５（寒川駅） 3580万円,新築一戸建て,神奈川県平塚市四之宮５-6-11,ＪＲ相模線,寒川,－徒歩53分～53分,3580万円,125.74m2・143.92m2（38.03坪・43.53坪）,4LDK,-
1015,岡崎（鶴巻温泉駅） 3580万円,新築一戸建て,神奈川県平塚市岡崎3069,小田急小田原線,鶴巻温泉,－徒歩38分,3580万円,173.25m2（52.40坪）（登記）,4LDK,-
1016,田村８ 3650万円・3780万円,新築一戸建て,神奈川県平塚市田村８-6279,ＪＲ東海道本線,平塚,バス24分停歩6分,3650万円・3780万円,100.09m2～132.92m2（30.27坪～40.20坪）,4LDK,-
1017,花水台（平塚駅） 3680万円～3980万円,新築一戸建て,神奈川県平塚市花水台12－27,ＪＲ東海道本線,平塚,－徒歩26分～26分,3680万円～3980万円,87.61m2～88.99m2（26.50坪～26.91坪）,2LDK+S（納戸）,-
1018,入野（平塚駅） 3680万円,新築一戸建て,神奈川県平塚市入野43-7,ＪＲ東海道本線,平塚,－徒歩55分,3680万円,204.64m2（61.90坪）（登記）,4LDK,-
1019,西八幡１ 3680万円,新築一戸建て,神奈川県平塚市西八幡１,ＪＲ東海道本線,平塚,バス6分停歩8分,3680万円,110.73m2（実測）,3LDK,-
1020,東真土４ 3780万円～3980万円,新築一戸建て,神奈川県平塚市東真土４,湘南新宿ライン高海,平塚,バス15分停歩9分,3780万円～3980万円,141.29m2～181.05m2（42.74坪～54.76坪）,4LDK,-
1021,中里（平塚駅） 3780万円,新築一戸建て,神奈川県平塚市中里,ＪＲ東海道本線,平塚,－徒歩30分,3780万円,118.52m2（登記）,3LDK+S（納戸）,-
1022,中里 3780万円～4780万円,新築一戸建て,神奈川県平塚市中里95-3,ＪＲ東海道本線,平塚,バス7分停歩3分,3780万円～4780万円,118.52m2～132.24m2（35.85坪～40.00坪）,3LDK～4LDK+S（納戸）,-
1023,東真土４ 3780万円～3980万円,新築一戸建て,神奈川県平塚市東真土４,ＪＲ東海道本線,平塚,バス15分停歩9分,3780万円～3980万円,141.29m2～181.05m2（42.74坪～54.76坪）,4LDK,-
1024,東真土４ 3780万円～3980万円,新築一戸建て,神奈川県平塚市東真土４-14-23,ＪＲ東海道本線,平塚,バス15分停歩9分,3780万円～3980万円,141.29m2～181.05m2（42.74坪～54.76坪）（実測）,4LDK,-
1025,平塚５ 3780万円,新築一戸建て,神奈川県平塚市平塚５,ＪＲ東海道本線,平塚,バス15分停歩7分,3780万円,108.54m2（実測）,4LDK,-
1026,平塚５ 3780万円・3880万円,新築一戸建て,神奈川県平塚市平塚５,ＪＲ東海道本線,平塚,バス15分停歩7分,3780万円・3880万円,108.53m2・108.54m2（32.83坪・32.83坪）,4LDK・4LDK+S（納戸）,-
1027,諏訪町（平塚駅） 3790万円,新築一戸建て,神奈川県平塚市諏訪町1448,ＪＲ東海道本線,平塚,－徒歩26分,3790万円,161.32m2（48.79坪）（登記）,4LDK,-
1028,徳延（平塚駅） 3790万円～4190万円,新築一戸建て,神奈川県平塚市徳延541-10,ＪＲ東海道本線,平塚,－徒歩44分～44分,3790万円～4190万円,118.37m2～120.86m2（35.80坪～36.55坪）（登記）,4LDK,-
1029,上平塚 3880万円～4080万円,新築一戸建て,神奈川県平塚市上平塚11-4,ＪＲ東海道本線,平塚,バス7分停歩3分,3880万円～4080万円,129.03m2～132.29m2（39.03坪～40.01坪）（登記）,3LDK,-
1030,上平塚 3880万円～4080万円,新築一戸建て,神奈川県平塚市上平塚5-1,ＪＲ東海道本線,平塚,バス7分停歩3分,3880万円～4080万円,129.03m2～132.29m2,3LDK,-
1031,平塚５ 3880万円,新築一戸建て,神奈川県平塚市平塚５,ＪＲ東海道本線,平塚,バス15分停歩7分,3880万円,108.53m2（実測）,4LDK,-
1032,入野（平塚駅） 3980万円・4280万円,新築一戸建て,神奈川県平塚市入野327,ＪＲ東海道本線,平塚,－徒歩58分～58分,3980万円・4280万円,130m2・167m2（39.32坪・50.51坪）（登記）,3LDK,-
1033,寺田縄（伊勢原駅） 3980万円,新築一戸建て,神奈川県平塚市寺田縄48,小田急小田原線,伊勢原,－徒歩57分～57分,3980万円,130.14m2（39.36坪）,3LDK,-
1034,立野町（平塚駅） 4280万円,新築一戸建て,神奈川県平塚市立野町,ＪＲ東海道本線,平塚,－徒歩18分,4280万円,130.87m2（39.58坪）（登記）,4LDK,-
1035,黒部丘（平塚駅） 4330万円,新築一戸建て,神奈川県平塚市黒部丘18-11,ＪＲ東海道本線,平塚,－徒歩19分,4330万円,87.05m2（26.33坪）（登記）,2LDK+S（納戸）,-
1036,富士見町 4480万円,新築一戸建て,神奈川県平塚市富士見町,ＪＲ東海道本線,平塚,バス8分停歩2分,4480万円,169.49m2（51.27坪）（実測）,4LDK,-
1037,西八幡１（平塚駅） 4680万円,新築一戸建て,神奈川県平塚市西八幡１-80,ＪＲ東海道本線,平塚,－徒歩21分,4680万円,134.49m2（40.68坪）（登記）,3LDK,-
1038,菫平（平塚駅） 4780万円,新築一戸建て,神奈川県平塚市菫平2-3,ＪＲ東海道本線,平塚,－徒歩14分～14分,4780万円,90.27m2・90.28m2（27.30坪・27.30坪）（登記）,1LDK+2S（納戸）,-
1039,平塚３（平塚駅） 4790万円～5290万円,新築一戸建て,神奈川県平塚市平塚３-1008,ＪＲ東海道本線,平塚,－徒歩20分～20分,4790万円～5290万円,112.09m2～150.59m2（33.90坪～45.55坪）,4LDK,-
1040,菫平（平塚駅） 5089万円～5964万円,新築一戸建て,神奈川県平塚市菫平17,ＪＲ東海道本線,平塚,－徒歩26分～26分,5089万円～5964万円,110.81m2～113.06m2（33.51坪～34.20坪）（登記）,3LDK・3LDK+S（納戸）,-
1041,諏訪町（平塚駅） 5140万円,新築一戸建て,神奈川県平塚市諏訪町30-14,ＪＲ東海道本線,平塚,－徒歩29分,5140万円,113m2（34.18坪）（登記）,3LDK,-
1042,岩瀬 4280万円～4580万円,新築一戸建て,神奈川県鎌倉市岩瀬,ＪＲ横須賀線,大船,バス9分停歩2分,4280万円～4580万円,64.34m2～67.85m2（実測）,2LDK+S（納戸）～3LDK+S（納戸）,-
1043,笛田６（長谷駅） 4380万円,新築一戸建て,神奈川県鎌倉市笛田６,江ノ島電鉄線,長谷,－徒歩16分,4380万円,77.11m2,3LDK,-
1044,植木（大船駅） 4580万円,新築一戸建て,神奈川県鎌倉市植木,ＪＲ横須賀線,大船,－徒歩18分～19分,4580万円,102.66m2（31.05坪）,4LDK,-
1045,玉縄２（大船駅） 5380万円・5580万円,新築一戸建て,神奈川県鎌倉市玉縄２,ＪＲ横須賀線,大船,－徒歩13分～14分,5380万円・5580万円,165.08m2・174.45m2（49.93坪・52.77坪）,4LDK,-
1046,津西２（片瀬山駅） 5980万円,新築一戸建て,神奈川県鎌倉市津西２,湘南モノレール,片瀬山,－徒歩4分,5980万円,136.7m2（登記）、傾斜部分：40㎡含,3LDK,-
1047,玉縄５（大船駅） 6580万円,新築一戸建て,神奈川県鎌倉市玉縄５,ＪＲ東海道本線,大船,－徒歩18分,6580万円,146.12m2（44.20坪）（登記）,3LDK,-
1048,鎌倉山３（西鎌倉駅） 6880万円～7880万円,新築一戸建て,神奈川県鎌倉市鎌倉山３,湘南モノレール,西鎌倉,－徒歩18分,6880万円～7880万円,201.2m2～204.44m2（60.86坪～61.84坪）（実測）,3LDK～4LDK,-
1049,鎌倉山３（西鎌倉駅） 6980万円,新築一戸建て,神奈川県鎌倉市鎌倉山３,湘南モノレール,西鎌倉,－徒歩12分,6980万円,202.18m2（61.15坪）,4LDK,-
1050,鎌倉山３（西鎌倉駅） 6980万円,新築一戸建て,神奈川県鎌倉市鎌倉山３,湘南モノレール,西鎌倉,－徒歩12分,6980万円,202.18m2,4LDK,-
1051,梶原３ 6980万円,新築一戸建て,神奈川県鎌倉市梶原３,ＪＲ東海道本線,藤沢,バス15分停歩3分,6980万円,170.1m2（51.45坪）,3LDK,-
1052,梶原３ 6980万円,新築一戸建て,神奈川県鎌倉市梶原３,ＪＲ東海道本線,藤沢,バス15分停歩3分,6980万円,170.1m2（51.45坪）,3LDK,-
1053,稲村ガ崎5丁目新築戸建　全2邸,新築一戸建て,神奈川県鎌倉市稲村ガ崎５,江ノ島電鉄線,稲村ヶ崎,－徒歩12分,8380万円・8480万円,161.48m2（48.84坪）,3LDK,-
1054,七里ガ浜東５（七里ヶ浜駅） 1億4000万円,新築一戸建て,神奈川県鎌倉市七里ガ浜東５,江ノ島電鉄線,七里ヶ浜,－徒歩12分,1億4000万円,193.21m2（登記）,3LDK,-
1055,材木座２（鎌倉駅） 2億7980万円,新築一戸建て,神奈川県鎌倉市材木座２,ＪＲ横須賀線,鎌倉,－徒歩15分,2億7980万円,260.58m2（78.82坪）,4LDK,-
1056,長後（長後駅） 3380万円・3480万円,新築一戸建て,神奈川県藤沢市長後,小田急江ノ島線,長後,－徒歩17分,3380万円・3480万円,91.55m2・93.78m2（27.69坪・28.36坪）（登記）,3LDK-,-
1057,大鋸 3680万円,新築一戸建て,神奈川県藤沢市大鋸,ＪＲ東海道本線,藤沢,バス8分停歩4分,3680万円,75.61m2（22.87坪）（登記）,3LDK,-
1058,遠藤 3790万円,新築一戸建て,神奈川県藤沢市遠藤,小田急江ノ島線,湘南台,バス16分停歩4分,3790万円,102.62m2（実測）,3LDK,-
1059,遠藤 3790万円,新築一戸建て,神奈川県藤沢市遠藤,小田急江ノ島線,湘南台,バス16分停歩4分,3790万円,102.53m2～102.68m2（31.01坪～31.06坪）,3LDK,-
1060,立石１（善行駅） 3890万円,新築一戸建て,神奈川県藤沢市立石１,小田急江ノ島線,善行,－徒歩14分,3890万円,130.52m2,4LDK,-
1061,下土棚（長後駅） 3980万円,新築一戸建て,神奈川県藤沢市下土棚,小田急江ノ島線,長後,－徒歩17分,3980万円,99m2（登記）,2LDK+S（納戸）,-
1062,長後（長後駅） 3980万円,新築一戸建て,神奈川県藤沢市長後,小田急江ノ島線,長後,－徒歩15分,3980万円,98.36m2（29.75坪）,3LDK,-
1063,用田 3990万円～4390万円,新築一戸建て,神奈川県藤沢市用田,小田急江ノ島線,湘南台,バス12分停歩2分,3990万円～4390万円,125.7m2～152.39m2（実測）,4LDK,-
1064,用田 3990万円～4390万円,新築一戸建て,神奈川県藤沢市用田,小田急江ノ島線,湘南台,バス12分停歩2分,3990万円～4390万円,125.7m2～152.39m2（38.02坪～46.09坪）,4LDK,-
1065,用田 3990万円～4390万円,新築一戸建て,神奈川県藤沢市用田,小田急江ノ島線,湘南台,バス12分停歩2分,3990万円～4390万円,125.7m2～152.39m2（38.02坪～46.09坪）,4LDK,-
1066,用田 3990万円～4390万円,新築一戸建て,神奈川県藤沢市用田,小田急江ノ島線,湘南台,バス12分停歩2分,3990万円～4390万円,125.7m2～152.39m2,4LDK,-
1067,高倉（長後駅） 4190万円,新築一戸建て,神奈川県藤沢市高倉,小田急江ノ島線,長後,－徒歩11分,4190万円,100.49m2（30.39坪）（実測）,4LDK,-
1068,石川５ 4280万円,新築一戸建て,神奈川県藤沢市石川５,小田急江ノ島線,湘南台,バス11分停歩6分,4280万円,67.04m2（20.27坪）（実測）,4LDK,-
1069,石川 4280万円,新築一戸建て,神奈川県藤沢市石川,小田急江ノ島線,善行,バス16分停歩2分,4280万円,89.31m2（27.01坪）,3LDK+S（納戸）,-
1070,大庭 4280万円～4380万円,新築一戸建て,神奈川県藤沢市大庭,ＪＲ東海道本線,辻堂,バス7分停歩7分,4280万円～4380万円,100.5m2～109.67m2,3LDK+S（納戸）～3LDK,-
1071,菖蒲沢 4298万円,新築一戸建て,神奈川県藤沢市菖蒲沢,小田急江ノ島線,湘南台,バス14分停歩7分,4298万円,97.72m2（実測）,4LDK,-
1072,石川５ 4380万円,新築一戸建て,神奈川県藤沢市石川５,小田急江ノ島線,湘南台,バス11分停歩6分,4380万円,67.11m2（20.30坪）（実測）,4LDK,-
1073,善行５（善行駅） 4380万円,新築一戸建て,神奈川県藤沢市善行５,小田急江ノ島線,善行,－徒歩13分,4380万円,108.47m2（実測）,3LDK,-
1074,Vergarden長後　新築分譲住宅　全3棟,新築一戸建て,神奈川県藤沢市高倉,小田急江ノ島線,長後,－徒歩6分～7分,4380万円・4580万円,100.44m2～147.64m2（30.38坪～44.66坪）（登記）,4LDK,-
1075,本藤沢２（藤沢本町駅） 4390万円・4590万円,新築一戸建て,神奈川県藤沢市本藤沢２,小田急江ノ島線,藤沢本町,－徒歩15分,4390万円・4590万円,118.85m2・123.67m2（実測）,4LDK,-
1076,善行５（善行駅） 4480万円,新築一戸建て,神奈川県藤沢市善行５,小田急江ノ島線,善行,－徒歩13分,4480万円,102.22m2（実測）,3LDK,-
1077,FIT　藤沢市亀井野　３期,新築一戸建て,神奈川県藤沢市亀井野,小田急江ノ島線,善行,－徒歩19分,4498万円・4598万円,96.15m2～97.77m2,4LK・4LDK,-
1078,遠藤 4580万円,新築一戸建て,神奈川県藤沢市遠藤,小田急江ノ島線,湘南台,バス7分停歩7分,4580万円,114.4m2（登記）,3LDK,-
1079,善行５（善行駅） 4580万円,新築一戸建て,神奈川県藤沢市善行５,小田急江ノ島線,善行,－徒歩13分,4580万円,102.58m2（実測）,3LDK,-
1080,高倉（長後駅） 4590万円,新築一戸建て,神奈川県藤沢市高倉,小田急江ノ島線,長後,－徒歩11分,4590万円,92.8m2（28.07坪）（実測）,4LDK,-
1081,藤が岡２（藤沢駅） 4650万円,新築一戸建て,神奈川県藤沢市藤が岡２,ＪＲ東海道本線,藤沢,－徒歩14分～16分,4650万円,52.98m2（16.02坪）,4LDK,-
1082,石川 4680万円,新築一戸建て,神奈川県藤沢市石川,小田急江ノ島線,湘南台,バス17分停歩5分,4680万円,135.63m2（41.02坪）（実測）,4LDK,-
1083,石川 4780万円,新築一戸建て,神奈川県藤沢市石川,小田急江ノ島線,湘南台,バス17分停歩5分,4780万円,131.39m2（39.74坪）（実測）,4LDK,-
1084,弥勒寺（藤沢駅） 4780万円,新築一戸建て,神奈川県藤沢市弥勒寺,ＪＲ東海道本線,藤沢,－徒歩21分,4780万円,131.74m2（実測）、路地状部分：56.34㎡含,4LDK,-
1085,本町３（藤沢本町駅） 4780万円・4980万円,新築一戸建て,神奈川県藤沢市本町３,小田急江ノ島線,藤沢本町,－徒歩4分,4780万円・4980万円,62.11m2・65.11m2（18.78坪・19.69坪）,2LDK+2S（納戸）・3LDK+S（納戸）,-
1086,弥勒寺（藤沢駅） 4780万円・4980万円,新築一戸建て,神奈川県藤沢市弥勒寺,ＪＲ東海道本線,藤沢,－徒歩21分,4780万円・4980万円,126.6m2～131.74m2（38.29坪～39.85坪）（実測）,4LDK,-
1087,亀井野（六会日大前駅） 4850万円・4980万円,新築一戸建て,神奈川県藤沢市亀井野,小田急江ノ島線,六会日大前,－徒歩11分,4850万円・4980万円,108.08m2～113.43m2（32.69坪～34.31坪）,2LDK+S（納戸）,-
1088,大庭 4880万円,新築一戸建て,神奈川県藤沢市大庭,ＪＲ東海道本線,辻堂,バス14分停歩3分,4880万円,154.18m2（実測）,4LDK,-
1089,石川 4880万円,新築一戸建て,神奈川県藤沢市石川,小田急江ノ島線,湘南台,バス17分停歩5分,4880万円,144.92m2（43.83坪）（実測）,4LDK,-
1090,弥勒寺（藤沢駅） 4980万円,新築一戸建て,神奈川県藤沢市弥勒寺508-15,ＪＲ東海道本線,藤沢,－徒歩21分,4980万円,127.92m2（実測）、路地状部分：42.4㎡含,4LDK,-
1091,鵠沼花沢町（藤沢駅） 4980万円,新築一戸建て,神奈川県藤沢市鵠沼花沢町,ＪＲ東海道本線,藤沢,－徒歩7分,4980万円,97.4m2（登記）,4LDK,-
1092,本藤沢１（藤沢本町駅） 4990万円,新築一戸建て,神奈川県藤沢市本藤沢１,小田急江ノ島線,藤沢本町,－徒歩10分,4990万円,101.24m2（30.62坪）,3LDK,-
1093,辻堂東海岸２（鵠沼海岸駅） 5090万円,新築一戸建て,神奈川県藤沢市辻堂東海岸２,小田急江ノ島線,鵠沼海岸,－徒歩14分,5090万円,104.16m2～107.69m2,3LDK～4LDK,-
1094,辻堂東海岸２（鵠沼海岸駅） 5090万円～5090万円,新築一戸建て,神奈川県藤沢市辻堂東海岸２,小田急江ノ島線,鵠沼海岸,－徒歩14分,5090万円～5090万円,104.16m2～107.69m2（実測）,3LDK,-
1095,辻堂東海岸２（鵠沼海岸駅） 5090万円,新築一戸建て,神奈川県藤沢市辻堂東海岸２,小田急江ノ島線,鵠沼海岸,－徒歩14分,5090万円,104.16m2・107.69m2（31.50坪・32.57坪）（実測）,2LDK+S（納戸）,-
1096,辻堂東海岸２（鵠沼海岸駅） 5190万円～6190万円,新築一戸建て,神奈川県藤沢市辻堂東海岸２,小田急江ノ島線,鵠沼海岸,－徒歩19分,5190万円～6190万円,118.26m2～120.09m2（35.77坪～36.32坪）,4LDK,-
1097,辻堂東海岸２（鵠沼海岸駅） 5190万円～6190万円,新築一戸建て,神奈川県藤沢市辻堂東海岸２-2-2,小田急江ノ島線,鵠沼海岸,－徒歩19分,5190万円～6190万円,118.26m2～120.09m2（35.77坪～36.32坪）,4LDK,-
1098,辻堂東海岸２（鵠沼海岸駅） 5290万円,新築一戸建て,神奈川県藤沢市辻堂東海岸２,小田急江ノ島線,鵠沼海岸,－徒歩14分,5290万円,104.16m2・107.69m2（31.50坪・32.57坪）,3LDK,-
1099,辻堂東海岸２（鵠沼海岸駅） 5290万円,新築一戸建て,神奈川県藤沢市辻堂東海岸２,小田急江ノ島線,鵠沼海岸,－徒歩14分,5290万円,104.16m2・107.69m2（31.50坪・32.57坪）,3LDK,-
1100,辻堂東海岸２（鵠沼海岸駅） 5290万円,新築一戸建て,神奈川県藤沢市辻堂東海岸２,小田急江ノ島線,鵠沼海岸,－徒歩14分,5290万円,104.16m2・107.69m2（31.50坪・32.57坪）,2LDK+S（納戸）,-
1101,長後（藤沢市長後）,新築一戸建て,神奈川県藤沢市長後,小田急江ノ島線,長後,－徒歩9分,5380万円,133.33m2,4LDK,-
1102,片瀬２（湘南海岸公園駅） 5480万円,新築一戸建て,神奈川県藤沢市片瀬２,江ノ島電鉄線,湘南海岸公園,－徒歩7分,5480万円,110.03m2（33.28坪）,3LDK,-
1103,片瀬２（鵠沼駅） 5480万円,新築一戸建て,神奈川県藤沢市片瀬２,江ノ島電鉄線,鵠沼,－徒歩10分,5480万円,110.03m2,3LDK,-
1104,辻堂６（辻堂駅） 5480万円～5980万円,新築一戸建て,神奈川県藤沢市辻堂６,ＪＲ東海道本線,辻堂,－徒歩14分,5480万円～5980万円,95.73m2～102.04m2（実測）,3LDK,-
1105,片瀬２（湘南海岸公園駅） 5480万円,新築一戸建て,神奈川県藤沢市片瀬２,江ノ島電鉄線,湘南海岸公園,－徒歩7分,5480万円,110.03m2（登記）,3LDK,-
1106,片瀬１（石上駅） 5498万円,新築一戸建て,神奈川県藤沢市片瀬１,江ノ島電鉄線,石上,－徒歩10分,5498万円,62.1m2（実測）,4LDK,-
1107,朝日町（藤沢駅） 5640万円・6290万円,新築一戸建て,神奈川県藤沢市朝日町,ＪＲ東海道本線,藤沢,－徒歩7分,5640万円・6290万円,52.92m2・56.15m2,2LDK+2S（納戸）・4LDK,-
1108,朝日町（藤沢駅） 5640万円～6290万円,新築一戸建て,神奈川県藤沢市朝日町16-16,ＪＲ東海道本線,藤沢,－徒歩7分,5640万円～6290万円,52.92m2～56.25m2（実測）,2LDK+S（納戸）～4LDK,-
1109,辻堂元町５（辻堂駅） 5680万円,新築一戸建て,神奈川県藤沢市辻堂元町５,ＪＲ東海道本線,辻堂,－徒歩16分,5680万円,101.82m2（30.80坪）,1LDK+2S（納戸）,-
1110,辻堂元町５（辻堂駅） 5680万円,新築一戸建て,神奈川県藤沢市辻堂元町５-9-17,ＪＲ東海道本線,辻堂,－徒歩16分,5680万円,101.82m2（30.80坪）,1LDK+2S（納戸）,-
1111,辻堂６（辻堂駅） 5680万円・5980万円,新築一戸建て,神奈川県藤沢市辻堂６,ＪＲ東海道本線,辻堂,－徒歩14分,5680万円・5980万円,95.73m2～102.04m2,1LDK+S（納戸）～3LDK,-
1112,弥勒寺３（藤沢駅） 5780万円,新築一戸建て,神奈川県藤沢市弥勒寺３,ＪＲ東海道本線,藤沢,－徒歩23分,5780万円,99.96m2（実測）,3LDK,-
